Date,Placement Name,Requested Impressions,Executed Impressions,Clickthrough Rate,Clicks,Viewability,Banner - Renders,Banner - Viewability,DriveBy - Renders,DriveBy - Viewability,DriveBy - Video Play Rate,DriveBy - Video First Quarter Views,DriveBy - Video Second Quarter Views,DriveBy - Video Third Quarter Views,DriveBy - Video Completions,DriveBy - Video Completion Rate
23-Mar-17,147347247 - Adidas DB - VN,7805,1275,0.17%,7,73.18%,6989,11.02%,1164,28.18%,31.01%,306,261,220,192,53.19%
24-Mar-17,147347247 - Adidas DB - VN,4216,999,0%,8,74.97%,3755,16.96%,918,27.12%,28.87%,231,207,181,167,63.02%
25-Mar-17,147347247 - Adidas DB - VN,0,0,1.76%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
26-Mar-17,147347247 - Adidas DB - VN,0,0,0%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
27-Mar-17,147347247 - Adidas DB - VN,0,0,0.63%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
28-Mar-17,147347247 - Adidas DB - VN,0,0,0.42%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
29-Mar-17,147347247 - Adidas DB - VN,0,0,0.54%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
30-Mar-17,147347247 - Adidas DB - VN,0,0,1.09%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
31-Mar-17,147347247 - Adidas DB - VN,0,0,1.55%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
1-Apr-17,147347247 - Adidas DB - VN,0,0,0%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
2-Apr-17,147347247 - Adidas DB - VN,0,0,0.45%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
3-Apr-17,147347247 - Adidas DB - VN,0,0,0.19%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
4-Apr-17,147347247 - Adidas DB - VN,0,0,0.56%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
5-Apr-17,147347247 - Adidas DB - VN,0,0,1.11%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
6-Apr-17,147347247 - Adidas DB - VN,0,0,1.37%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
7-Apr-17,147347247 - Adidas DB - VN,0,0,0.45%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
8-Apr-17,147347247 - Adidas DB - VN,0,0,0.19%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
9-Apr-17,147347247 - Adidas DB - VN,0,0,0.56%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
10-Apr-17,147347247 - Adidas DB - VN,0,0,1.11%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
11-Apr-17,147347247 - Adidas DB - VN,0,0,1.37%,0,0%,0,0%,0,0%,0%,0,0,0,0,0%
